Simulation Filename,Realistic Filename,Mean Square Error(MSE),Structural Similarity(SSIM),ERROR,Img Subtraction
2.0068.png,2.0067.png,0.02633606,0.48,0.52,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.05882353 0.14509804 0.31764706 ... 0.00392157 0.00392157 0.00784314]
 [0.01960784 0.12941176 0.27058824 ... 0.         0.00392157 0.00784314]
 [0.02745098 0.10196078 0.29411765 ... 0.         0.00784314 0.01176471]]"
2.0070.png,2.0069.png,0.02458507,0.48,0.52,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.54901961 0.52941176 0.54901961 ... 0.00784314 0.00784314 0.00784314]
 [0.43137255 0.40392157 0.42352941 ... 0.00392157 0.00392157 0.00784314]
 [0.32941176 0.30980392 0.3372549  ... 0.00392157 0.         0.        ]]"
2.0072.png,2.0071.png,0.02270926,0.5,0.5,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.04313725 0.03137255 0.01176471 ... 0.00392157 0.00392157 0.        ]
 [0.04705882 0.03137255 0.01568627 ... 0.00392157 0.         0.        ]
 [0.02745098 0.01960784 0.01176471 ... 0.         0.         0.        ]]"
2.0074.png,2.0073.png,0.02269642,0.52,0.48,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.04313725 0.02745098 0.01176471 ... 0.         0.         0.        ]
 [0.04313725 0.02745098 0.01568627 ... 0.         0.         0.        ]
 [0.02745098 0.01176471 0.00784314 ... 0.         0.         0.        ]]"
2.0076.png,2.0075.png,0.02001514,0.52,0.48,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00392157 0.00392157 ... 0.00392157 0.00392157 0.00392157]
 [0.00784314 0.00784314 0.         ... 0.00392157 0.         0.        ]
 [0.01960784 0.01176471 0.00784314 ... 0.         0.         0.        ]]"
2.0078.png,2.0077.png,0.02160135,0.53,0.47,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.05490196 0.04313725 0.03137255 ... 0.00784314 0.00784314 0.00784314]
 [0.02352941 0.01568627 0.01568627 ... 0.00784314 0.00784314 0.00784314]
 [0.00392157 0.00392157 0.         ... 0.01176471 0.00784314 0.00784314]]"
2.0080.png,2.0079.png,0.01448552,0.55,0.44999999999999996,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.01568627 0.         ... 0.         0.         0.00392157]
 [0.05490196 0.04313725 0.02352941 ... 0.00392157 0.00392157 0.        ]
 [0.0627451  0.05490196 0.03529412 ... 0.00392157 0.00392157 0.        ]]"
2.0082.png,2.0081.png,0.01779246,0.56,0.43999999999999995,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.03921569 0.02745098 0.01176471 ... 0.         0.         0.        ]
 [0.03921569 0.02352941 0.01960784 ... 0.         0.         0.        ]
 [0.00784314 0.00392157 0.00784314 ... 0.         0.         0.        ]]"
2.0084.png,2.0083.png,0.01361769,0.59,0.41000000000000003,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.02352941 0.03529412 0.01568627 ... 0.00784314 0.00784314 0.00784314]
 [0.02352941 0.01568627 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.03137255 0.01960784 0.01176471 ... 0.00392157 0.00392157 0.00392157]]"
2.0086.png,2.0085.png,0.01454647,0.58,0.42000000000000004,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.02745098 0.03921569 0.05490196 ... 0.01176471 0.01176471 0.00784314]
 [0.00392157 0.01960784 0.03921569 ... 0.00784314 0.00784314 0.00392157]
 [0.03921569 0.01568627 0.01176471 ... 0.00392157 0.00392157 0.        ]]"
